id,name,location,address,opening_time,closing_time,dine_in,delivery,pickup
82,ZUS Coffee – Shah Alam Seksyen 20,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
83,ZUS Coffee – You City III Cheras,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
84,ZUS Coffee – Menara UOA Bangsar,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
85,"ZUS Coffee – TTDI Jaya, Shah Alam",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
86,ZUS Coffee – Citta Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
87,"ZUS Coffee – Cubic Botanical, Pantai Dalam",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
88,ZUS Coffee – TTDI Grove Kajang,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
89,ZUS Coffee – Jenjarom,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
90,ZUS Coffee – Suasana PjH Presint 2,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
91,ZUS Coffee – Plaza Low yat,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
92,"ZUS Coffee – Selera Putra, Souq Putrajaya",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
93,ZUS Coffee – Plaza Shah Alam,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
94,"ZUS Coffee – Vista Bangi, Jalan Reko",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
95,ZUS Coffee – Kipmall Bangi,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
96,ZUS Coffee – Universiti Malaya Centre for Continuing Education,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
97,Ready-To Zus – Holiday Inn Express Hotel KL,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
98,ZUS Coffee – MSU Medical Centre,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
99,ZUS Coffee – Bandar Teknologi Kajang,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
100,ZUS Coffee – Menara VSQ Petaling Jaya,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
101,ZUS Coffee – Damansara Damai,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
